2016-11-06 02:38:58,062 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=13
2016-11-06 02:38:58,073 [main] INFO  marytts.PStream Gradient GV optimization for feature: (5)  number of iterations=21
2016-11-06 02:38:58,080 [main] INFO  marytts.PStream Gradient GV optimization for feature: (6)  number of iterations=7
2016-11-06 02:38:58,084 [main] INFO  marytts.PStream Gradient GV optimization for feature: (7)  number of iterations=4
2016-11-06 02:38:58,092 [main] INFO  marytts.PStream Gradient GV optimization for feature: (8)  number of iterations=11
2016-11-06 02:38:58,102 [main] INFO  marytts.PStream Gradient GV optimization for feature: (9)  number of iterations=19
2016-11-06 02:38:58,107 [main] INFO  marytts.PStream Gradient GV optimization for feature: (10)  number of iterations=16
2016-11-06 02:38:58,112 [main] INFO  marytts.PStream Gradient GV optimization for feature: (11)  number of iterations=9
2016-11-06 02:38:58,121 [main] INFO  marytts.PStream Gradient GV optimization for feature: (12)  number of iterations=2
2016-11-06 02:38:58,124 [main] INFO  marytts.PStream Gradient GV optimization for feature: (13)  number of iterations=13
2016-11-06 02:38:58,129 [main] INFO  marytts.PStream Gradient GV optimization for feature: (14)  number of iterations=12
2016-11-06 02:38:58,132 [main] INFO  marytts.PStream Gradient GV optimization for feature: (15)  number of iterations=14
2016-11-06 02:38:58,136 [main] INFO  marytts.PStream Gradient GV optimization for feature: (16)  number of iterations=15
2016-11-06 02:38:58,142 [main] INFO  marytts.PStream Gradient GV optimization for feature: (17)  number of iterations=14
2016-11-06 02:38:58,146 [main] INFO  marytts.PStream Gradient GV optimization for feature: (18)  number of iterations=19
2016-11-06 02:38:58,147 [main] INFO  marytts.PStream Gradient GV optimization for feature: (19)  number of iterations=12
2016-11-06 02:38:58,149 [main] INFO  marytts.PStream Gradient GV optimization for feature: (20)  number of iterations=17
2016-11-06 02:38:58,155 [main] INFO  marytts.PStream Gradient GV optimization for feature: (21)  number of iterations=23
2016-11-06 02:38:58,156 [main] INFO  marytts.PStream Gradient GV optimization for feature: (22)  number of iterations=12
2016-11-06 02:38:58,158 [main] INFO  marytts.PStream Gradient GV optimization for feature: (23)  number of iterations=18
2016-11-06 02:38:58,159 [main] INFO  marytts.PStream Gradient GV optimization for feature: (24)  number of iterations=12
2016-11-06 02:38:58,159 [main] INFO  marytts.PStream Gradient GV optimization for feature: (25)  number of iterations=11
2016-11-06 02:38:58,161 [main] INFO  marytts.PStream Gradient GV optimization for feature: (26)  number of iterations=13
2016-11-06 02:38:58,162 [main] INFO  marytts.PStream Gradient GV optimization for feature: (27)  number of iterations=9
2016-11-06 02:38:58,163 [main] INFO  marytts.PStream Gradient GV optimization for feature: (28)  number of iterations=13
2016-11-06 02:38:58,164 [main] INFO  marytts.PStream Gradient GV optimization for feature: (29)  number of iterations=8
2016-11-06 02:38:58,166 [main] INFO  marytts.PStream Gradient GV optimization for feature: (30)  number of iterations=11
2016-11-06 02:38:58,167 [main] INFO  marytts.PStream Gradient GV optimization for feature: (31)  number of iterations=12
2016-11-06 02:38:58,168 [main] INFO  marytts.PStream Gradient GV optimization for feature: (32)  number of iterations=7
2016-11-06 02:38:58,169 [main] INFO  marytts.PStream Gradient GV optimization for feature: (33)  number of iterations=8
2016-11-06 02:38:58,170 [main] INFO  marytts.PStream Gradient GV optimization for feature: (34)  number of iterations=12
2016-11-06 02:38:58,170 [main] INFO  marytts.ParameterGeneration Using f0 from maryXML acoustparams
2016-11-06 02:38:58,172 [main] INFO  marytts.PStream Context-dependent global variance optimization: gvLength = 107
2016-11-06 02:38:58,173 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=16
2016-11-06 02:38:58,174 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=2
2016-11-06 02:38:58,175 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=2
2016-11-06 02:38:58,176 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=8
2016-11-06 02:38:58,178 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=26
2016-11-06 02:38:58,199 [main] INFO  marytts.HMMSynthesizer Power-on self test complete.
2016-11-06 02:38:58,201 [main] INFO  marytts.TextToMaryXML Module started (TEXT->RAWMARYXML, locale null).
2016-11-06 02:38:58,201 [main] INFO  marytts.TextToMaryXML Starting power-on self test.
2016-11-06 02:38:58,202 [main] WARN  marytts.TextToMaryXML Locale is null, overriding with en_US
2016-11-06 02:38:58,203 [main] WARN  marytts.TextToMaryXML Locale is null, overriding with en_US
2016-11-06 02:38:58,203 [main] INFO  marytts.TextToMaryXML Power-on self test complete.
2016-11-06 02:39:02,644 [main] INFO  marytts.SableParser Module started (SABLE->RAWMARYXML, locale null).
2016-11-06 02:39:02,645 [main] INFO  marytts.SableParser Starting power-on self test.
2016-11-06 02:39:02,645 [main] INFO  marytts.SableParser Power-on self test complete.
